period,retail_all,retail_food,retail_nonfood,retail_online,retail_fuel,year,month
2013-09-01,3.0,2.3,3.9,16.1,-4.1,2013,9
2013-10-01,2.4,3.0,2.6,14.7,-6.4,2013,10
2013-11-01,71.3,75.3,77.1,36.9,77.9,2013,11
2013-12-01,71.7,76.2,77.5,36.9,77.8,2013,12
2014-01-01,3.9,2.3,6.6,7.7,-2.6,2014,1
2014-02-01,2.6,2.4,2.7,18.4,-6.0,2014,2
2014-03-01,72.8,74.9,79.7,38.1,83.8,2014,3
2014-04-01,72.6,75.7,78.9,39.8,79.0,2014,4
2014-05-01,72.7,74.9,79.6,41.4,78.8,2014,5
2014-06-01,73.1,75.4,80.6,39.7,79.3,2014,6
2014-07-01,73.1,76.0,80.1,39.1,79.5,2014,7
2014-08-01,73.2,75.5,81.2,38.9,78.5,2014,8
2014-09-01,1.3,0.9,2.0,11.8,-6.6,2014,9
2014-10-01,3.2,1.2,5.6,10.5,-2.5,2014,10
2014-11-01,73.2,75.9,81.4,39.4,75.8,2014,11
2014-12-01,4.1,-0.3,8.2,15.0,-1.6,2014,12
2015-01-01,2.3,-0.2,3.1,20.3,-1.8,2015,1
2015-02-01,1.2,-0.3,5.2,3.6,-10.1,2015,2
2015-03-01,73.2,75.1,81.8,42.2,72.8,2015,3
2015-04-01,73.6,75.0,82.4,42.9,74.1,2015,4
2015-05-01,73.6,75.4,82.2,42.1,74.4,2015,5
2015-06-01,0.9,0.1,1.9,9.4,-5.6,2015,6
2015-07-01,73.7,75.2,82.2,44.8,73.3,2015,7
2015-08-01,73.0,74.6,81.7,42.6,72.9,2015,8
2015-09-01,2.5,1.8,3.4,10.8,-4.6,2015,9
2015-10-01,73.4,75.0,81.9,43.6,73.6,2015,10
2015-11-01,73.7,75.5,81.8,43.8,74.5,2015,11
2015-12-01,73.4,75.8,81.5,42.6,73.5,2015,12
2016-01-01,75.3,76.3,83.8,46.6,76.4,2016,1
2016-02-01,1.5,1.8,0.6,8.2,-0.3,2016,2
2016-03-01,1.2,1.2,-0.4,9.6,1.4,2016,3
2016-04-01,1.4,0.8,1.3,6.9,-0.3,2016,4
2016-05-01,75.4,76.3,83.7,49.0,74.9,2016,5
2016-06-01,74.9,76.1,82.6,48.8,75.4,2016,6
2016-07-01,76.4,76.4,85.5,49.1,77.6,2016,7
2016-08-01,76.1,77.2,83.2,50.8,77.8,2016,8
2016-09-01,3.4,1.2,1.8,20.6,5.9,2016,9
2016-10-01,6.8,3.8,5.6,25.6,9.5,2016,10
2016-11-01,6.1,2.9,4.7,27.9,8.3,2016,11
2016-12-01,78.2,77.3,85.5,56.2,82.4,2016,12
2017-01-01,77.7,77.2,84.5,55.4,82.7,2017,1
2017-02-01,78.3,77.9,85.6,54.9,83.0,2017,2
2017-03-01,5.7,2.9,4.7,18.9,10.6,2017,3
2017-04-01,6.8,4.0,4.8,25.6,11.8,2017,4
2017-05-01,4.0,2.5,1.9,13.8,10.7,2017,5
2017-06-01,5.5,1.9,6.0,19.8,6.1,2017,6
2017-07-01,3.4,2.4,2.2,17.1,1.5,2017,7
2017-08-01,80.1,78.5,88.3,60.4,80.7,2017,8
2017-09-01,80.5,78.9,87.1,64.2,82.6,2017,9
2017-10-01,3.0,2.3,1.3,13.3,3.8,2017,10
2017-11-01,81.3,79.8,88.2,62.8,85.6,2017,11
2017-12-01,4.6,3.3,3.7,11.0,7.7,2017,12
2018-01-01,4.5,2.8,5.0,9.1,5.5,2018,1
2018-02-01,4.2,2.7,3.0,13.5,6.1,2018,2
2018-03-01,80.4,79.2,87.5,61.2,83.2,2018,3
2018-04-01,2.6,2.4,1.1,8.5,4.8,2018,4
2018-05-01,83.4,81.7,89.7,65.7,89.7,2018,5
2018-06-01,83.1,81.5,88.9,65.2,91.3,2018,6
2018-07-01,5.9,5.2,2.1,17.2,14.9,2018,7
2018-08-01,5.2,4.2,2.6,14.0,12.2,2018,8
2018-09-01,84.2,81.3,90.8,68.7,91.7,2018,9
2018-10-01,3.7,2.3,2.2,9.8,9.5,2018,10
2018-11-01,85.0,81.8,91.2,69.4,94.7,2018,11
2018-12-01,84.7,82.1,91.1,69.0,91.2,2018,12
2019-01-01,84.6,82.9,90.1,68.1,92.4,2019,1
2019-02-01,85.2,82.2,90.6,71.3,94.6,2019,2
2019-03-01,86.1,82.6,91.7,73.3,95.4,2019,3
2019-04-01,85.9,82.9,90.5,73.7,96.9,2019,4
2019-05-01,2.3,0.9,0.1,11.6,7.9,2019,5
2019-06-01,4.1,1.5,3.6,13.8,6.6,2019,6
2019-07-01,87.4,83.5,91.0,81.8,97.1,2019,7
2019-08-01,3.1,2.4,0.0,14.4,6.4,2019,8
2019-09-01,86.9,84.3,90.8,78.2,94.5,2019,9
2019-10-01,86.3,84.2,89.6,76.7,95.6,2019,10
2019-11-01,86.2,83.7,89.7,77.1,94.8,2019,11
2019-12-01,86.9,84.9,90.2,77.2,95.4,2019,12
2020-01-01,87.1,84.8,91.5,76.5,94.1,2020,1
2020-02-01,1.4,2.5,-0.5,6.3,-0.5,2020,2
2020-03-01,80.3,90.8,71.9,77.8,73.3,2020,3
2020-04-01,-23.8,5.9,-54.1,23.2,-65.1,2020,4
2020-05-01,-13.5,8.3,-42.0,51.3,-51.9,2020,5
2020-06-01,-3.7,7.1,-18.1,50.9,-44.7,2020,6
2020-07-01,87.9,86.8,86.2,108.2,71.3,2020,7
2020-08-01,88.9,88.0,87.7,105.1,74.9,2020,8
2020-09-01,90.2,88.5,91.1,103.5,75.2,2020,9
2020-10-01,5.7,3.9,3.3,43.9,-20.6,2020,10
2020-11-01,0.4,6.3,-8.4,40.9,-32.7,2020,11
2020-12-01,87.9,85.5,89.8,102.5,69.8,2020,12
2021-01-01,-6.2,5.0,-26.0,47.3,-30.3,2021,1
2021-02-01,82.6,89.9,69.5,109.6,67.9,2021,2
2021-03-01,86.0,90.6,75.8,108.5,76.2,2021,3
2021-04-01,93.6,90.3,94.2,108.0,84.7,2021,4
2021-05-01,92.5,85.8,96.9,103.0,87.8,2021,5
2021-06-01,12.9,0.6,28.1,-8.0,70.6,2021,6
2021-07-01,4.9,1.9,8.1,-9.2,33.5,2021,7
2021-08-01,92.7,88.1,94.3,98.3,97.3,2021,8
2021-09-01,3.2,-0.5,3.6,-3.7,33.0,2021,9
2021-10-01,93.6,88.7,97.1,97.9,94.2,2021,10
2021-11-01,94.6,88.7,96.7,99.6,104.0,2021,11
2021-12-01,95.6,90.1,96.1,104.5,103.9,2021,12
2022-01-01,16.5,-0.7,42.1,-3.2,54.8,2022,1
2022-02-01,15.2,-1.8,38.9,-5.6,57.6,2022,2
2022-03-01,11.8,-1.6,31.4,-12.4,47.4,2022,3
2022-04-01,96.3,89.4,97.3,101.1,114.7,2022,4
2022-05-01,96.1,88.6,97.8,98.7,116.8,2022,5
2022-06-01,4.0,3.4,1.2,-7.2,35.1,2022,6
2022-07-01,99.1,94.9,98.0,96.2,125.2,2022,7
2022-08-01,97.1,94.7,95.2,95.2,116.8,2022,8
2022-09-01,96.7,94.1,96.6,94.8,110.8,2022,9
2022-10-01,5.2,7.2,1.7,-2.2,22.8,2022,10
2022-11-01,98.1,96.1,98.4,92.5,113.4,2022,11
2022-12-01,2.5,6.3,2.5,-10.2,6.4,2022,12
2023-01-01,3.6,9.3,2.9,-10.6,6.3,2023,1
2023-02-01,4.9,11.2,4.3,-4.9,-1.3,2023,2
2023-03-01,98.7,98.3,99.0,98.1,100.4,2023,3
